id_bien,date_vente,valeur_bien,numero_voie,b_t_q,FK_id_type_voie,nom_voie,FK_id_commune,FK_id_type_bien,nbr_pieces,surface_terrain,surface_reelle,surface_carrez
7298,2020-02-14,70000.00,7,,51,MURILLO,887,2,1,,38,38.84
7299,2020-02-07,228220.00,59,,1,MARCEL DASSAULT,895,2,3,,67,67.24
7300,2020-02-27,124000.00,491,,1,DE VANIERES,887,2,3,,70,80.33
7301,2020-02-06,325000.00,7,,0,DES CYCLADES,892,1,5,450,101,106.39
7302,2020-02-27,161792.00,23,,0,DE CHIO,886,2,2,,34,34
7303,2020-02-19,168000.00,35,,0,SAINT CLEOPHAS,887,2,3,,67,67.48
7304,2020-02-06,261000.00,370,,2,DE LA PLAGE,894,2,2,,45,43.29
7305,2020-03-03,259300.00,9,,10,EMMANUEL CHABRIER,896,2,3,,104,107.2
7306,2020-03-03,354000.00,9,,10,EMMANUEL CHABRIER,896,2,4,,100,100.3
7307,2020-02-28,71400.00,1278,,3,DE GANGES,888,2,1,,23,22.85
7308,2020-02-27,154000.00,239,,0,BRUMAIRE,886,2,2,,34,35.28
7309,2020-02-12,267140.00,188,,0,DE SICILE,885,1,6,,108,148.04
7310,2020-02-20,343000.00,4,,0,RIGAUD,886,2,3,,83,78.26
7311,2020-03-04,90500.00,4,,0,EDOUARD VII,887,2,1,,34,34.27
7312,2020-03-16,271000.00,7,,0,DU LABECH,894,1,3,,55,51.36
7313,2020-03-27,175000.00,6,,0,DU PUITS,897,2,3,,65,68.5
7314,2020-04-09,61750.00,775,,0,PAUL RIMBAUD,885,2,2,,43,42.85
7315,2020-03-31,174500.00,101,,21,DE L ORTET,898,2,2,,47,48.05
7316,2020-03-04,80684.51,300,,0,BUFFON,887,2,1,,23,23.57
7317,2020-04-16,101000.00,246,,2,DES PHENICIENS,894,2,2,,22,22.03
7318,2020-04-10,347900.00,79,,0,RAY CHARLES,886,2,3,,70,71.56
7319,2020-04-24,170000.00,1,,24,PAUL CUNQ,889,2,3,,43,28.22
7320,2020-04-30,54000.00,37,,4,GAMBETTA,886,2,1,,19,22.1
7321,2020-05-05,332000.00,35,,0,DES SOURCES,891,1,5,,110,107.59
7322,2020-05-05,214970.00,9,,0,DE LORRAINE,887,2,2,,47,46.95
7323,2020-05-06,299200.00,167,,10,DES DAHLIAS,895,2,4,,75,74.76
7324,2020-05-11,180388.00,50,,1,DE LA GALINE,895,2,4,,66,69.68
